Model,MSO4104
Firmware Version,2.48

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1e-06,,,
Sample Interval,1e-09,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,500,500,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,500,100,1,2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.8080e-06,770,-188,-2.14,-0.2
-4.8070e-06,830,-192,-2.02,-0.36
-4.8060e-06,790,-188,-2.14,-0.28
-4.8050e-06,790,-184,-2.02,-0.2
-4.8040e-06,850,-184,-2.06,-0.2
-4.8030e-06,810,-192,-2.02,-0.2
-4.8020e-06,830,-188,-2.02,0.04
-4.8010e-06,830,-180,-1.98,-0.12
-4.8000e-06,810,-188,-1.94,0.04
-4.7990e-06,810,-184,-1.9,-0.04
-4.7980e-06,830,-192,-1.94,0.04
-4.7970e-06,810,-184,-1.9,0.04
-4.7960e-06,790,-192,-1.9,0.12
-4.7950e-06,810,-188,-1.9,0.04
-4.7940e-06,830,-192,-1.82,0.2
-4.7930e-06,810,-196,-1.74,0.12
-4.7920e-06,810,-192,-1.74,0.2
-4.7910e-06,850,-188,-1.7,0.2
-4.7900e-06,810,-188,-1.66,0.28
-4.7890e-06,870,-188,-1.66,0.36
-4.7880e-06,790,-188,-1.58,0.36
-4.7870e-06,830,-196,-1.58,0.44
-4.7860e-06,790,-188,-1.54,0.6
-4.7850e-06,790,-188,-1.54,0.52
-4.7840e-06,810,-188,-1.58,0.52
-4.7830e-06,810,-188,-1.58,0.6
-4.7820e-06,830,-188,-1.54,0.6
-4.7810e-06,810,-188,-1.58,0.68
-4.7800e-06,810,-188,-1.54,0.68
-4.7790e-06,810,-192,-1.5,0.76
-4.7780e-06,810,-188,-1.5,0.76
-4.7770e-06,810,-184,-1.58,0.76
-4.7760e-06,810,-188,-1.5,1
-4.7750e-06,830,-188,-1.46,1
-4.7740e-06,810,-192,-1.46,0.92
-4.7730e-06,790,-180,-1.46,1
-4.7720e-06,830,-188,-1.38,1.16
-4.7710e-06,790,-188,-1.46,1.24
-4.7700e-06,830,-192,-1.5,1
-4.7690e-06,830,-184,-1.5,1.16
-4.7680e-06,830,-192,-1.42,1.24
-4.7670e-06,830,-184,-1.46,1.24
-4.7660e-06,830,-188,-1.5,1.4
-4.7650e-06,810,-188,-1.54,1.4
-4.7640e-06,790,-192,-1.54,1.48
-4.7630e-06,850,-188,-1.5,1.4
-4.7620e-06,790,-192,-1.5,1.48
-4.7610e-06,790,-184,-1.54,1.4
-4.7600e-06,810,-196,-1.42,1.56
-4.7590e-06,810,-184,-1.46,1.64
-4.7580e-06,810,-188,-1.3,1.72
-4.7570e-06,810,-188,-1.38,1.72
-4.7560e-06,810,-192,-1.34,1.72
-4.7550e-06,810,-188,-1.26,1.72
-4.7540e-06,830,-192,-1.38,1.88
-4.7530e-06,830,-192,-1.26,1.8
-4.7520e-06,830,-188,-1.3,2.04
-4.7510e-06,810,-192,-1.22,1.88
-4.7500e-06,810,-192,-1.22,2.04
-4.7490e-06,810,-192,-1.22,1.96
-4.7480e-06,810,-192,-1.1,2.04
-4.7470e-06,810,-188,-1.18,2.04
-4.7460e-06,830,-188,-1.14,2.28
