LECROYHDO8108A,60934,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,23-Dec-2021 15:57:23,0                 
Time,Ampl
6.91029221e-05,3.43887
6.91030221e-05,3.44088
6.91031221e-05,3.44362
6.91032221e-05,3.446
6.91033221e-05,3.44725
6.91034221e-05,3.44687
6.91035221e-05,3.44488
6.91036221e-05,3.442
6.91037221e-05,3.43913
6.91038221e-05,3.437
6.91039221e-05,3.436
6.91040221e-05,3.436
6.91041221e-05,3.43613
6.91042221e-05,3.43588
6.91043221e-05,3.43438
6.91044221e-05,3.432
6.91045221e-05,3.42912
6.91046221e-05,3.42675
6.91047221e-05,3.42563
6.91048221e-05,3.426
6.91049221e-05,3.42775
6.91050221e-05,3.43012
6.91051221e-05,3.43237
6.91052221e-05,3.434
6.91053221e-05,3.43463
6.91054221e-05,3.43463
6.91055221e-05,3.43425
6.91056221e-05,3.434
6.91057221e-05,3.43388
6.91058221e-05,3.43363
6.91059221e-05,3.43312
6.91060221e-05,3.432
6.91061221e-05,3.4305
6.91062221e-05,3.42888
6.91063221e-05,3.428
6.91064221e-05,3.428
6.91065221e-05,3.42912
6.91066221e-05,3.43087
6.91067221e-05,3.43275
6.91068221e-05,3.434
6.91069221e-05,3.43438
6.91070221e-05,3.434
6.91071221e-05,3.433
6.91072221e-05,3.432
6.91073221e-05,3.43125
6.91074221e-05,3.43075
6.91075221e-05,3.4305
6.91076221e-05,3.43
6.91077221e-05,3.42938
6.91078221e-05,3.429
6.91079221e-05,3.429
6.91080221e-05,3.43
6.91081221e-05,3.432
6.91082221e-05,3.43475
6.91083221e-05,3.43775
6.91084221e-05,3.44
6.91085221e-05,3.44112
6.91086221e-05,3.44088
6.91087221e-05,3.43962
6.91088221e-05,3.438
6.91089221e-05,3.43663
6.91090221e-05,3.43575
6.91091221e-05,3.43562
6.91092221e-05,3.436
6.91093221e-05,3.43637
6.91094221e-05,3.4365
6.91095221e-05,3.43637
