Frequency (Hz),Impedance (O),Angle (°)
1.37492e+006, 1090.28, -89.149
1.41661e+006, 1052.4, -89.2181
1.45957e+006, 1014.89, -89.2606
1.50382e+006, 979.424, -89.1876
1.54942e+006, 946.596, -89.3868
1.5964e+006, 913.059, -89.4323
1.64481e+006, 881.299, -89.4033
1.69468e+006, 850.532, -89.4231
1.74606e+006, 822.605, -89.4243
1.79901e+006, 794.472, -89.4433
1.85355e+006, 769.489, -89.3994
1.90976e+006, 744.376, -89.3926
1.96766e+006, 720.137, -89.3516
2.02732e+006, 696.729, -89.4811
2.08879e+006, 674.103, -89.4927
2.15213e+006, 653.084, -89.4857
2.21738e+006, 632.127, -89.508
2.28462e+006, 611.818, -89.536
2.35389e+006, 592.432, -89.5668
2.42526e+006, 574.041, -89.6032
2.4988e+006, 555.496, -89.634
2.57457e+006, 537.782, -89.6737
2.65263e+006, 521.218, -89.7123
2.73306e+006, 504.843, -89.7379
2.81593e+006, 488.099, -89.7773
2.90132e+006, 472.866, -89.7905
2.98929e+006, 458.162, -89.8136
3.07993e+006, 443.268, -89.8158
3.17331e+006, 429.218, -89.8537
3.26953e+006, 416.157, -89.8717
3.36867e+006, 403.027, -89.8998
3.47081e+006, 389.87, -89.9191
3.57605e+006, 377.623, -89.9641
3.68448e+006, 365.966, -90.0126
3.7962e+006, 353.929, -90.0503
3.9113e+006, 342.475, -90.1042
4.0299e+006, 331.558, -90.1474
4.15209e+006, 320.764, -90.1735
4.27799e+006, 310.013, -90.2097
4.4077e+006, 299.835, -90.2385
4.54135e+006, 290.137, -90.2943
4.67905e+006, 280.19, -90.3904
4.82092e+006, 270.406, -90.3319
4.9671e+006, 261.149, -90.332
5.11771e+006, 252.056, -90.2864
5.27288e+006, 242.884, -90.216
5.43276e+006, 234.282, -90.0946
5.59749e+006, 226.214, -89.9788
5.76722e+006, 217.926, -89.8544
5.94208e+006, 209.835, -89.7058
6.12226e+006, 202.105, -89.5294
6.30789e+006, 194.428, -89.2431
6.49915e+006, 186.833, -88.8567
6.69622e+006, 179.203, -88.3649
6.89925e+006, 171.844, -87.5497
7.10845e+006, 165.353, -86.3044
7.32398e+006, 160.381, -84.6223
7.54606e+006, 158.453, -82.714
7.77486e+006, 160.089, -81.795
8.01061e+006, 161.486, -82.6746
8.2535e+006, 159.546, -84.5201
8.50375e+006, 154.422, -86.3016
8.7616e+006, 147.463, -87.5652
9.02726e+006, 139.929, -88.2492
9.30098e+006, 133.159, -88.2382
9.583e+006, 127.593, -88.0728
9.87357e+006, 122.529, -88.0089
1.01729e+007, 117.615, -88.0093
1.04814e+007, 112.852, -88.024
1.07992e+007, 108.18, -88.0437
1.11267e+007, 103.554, -88.0376
1.1464e+007, 99.0081, -87.9802
1.18116e+007, 94.5745, -87.9323
1.21698e+007, 90.1836, -87.8142
1.25388e+007, 85.8805, -87.6978
1.2919e+007, 81.7133, -87.5228
1.33107e+007, 77.6088, -87.3106
1.37143e+007, 73.5591, -87.0276
1.41301e+007, 69.6315, -86.6781
1.45586e+007, 65.8096, -86.2807
1.5e+007, 62.0334, -86.134
